x,y
0,0.7986856612
0.03344481605,0.6447029938
0.06688963211,1.057624022
0.1003344482,1.503789181
0.1337792642,0.8934274784
0.1672240803,0.9814529265
0.2006688963,1.789381401
0.2341137124,1.540938628
0.2675585284,1.115291484
0.3010033445,1.581305863
0.3344481605,1.231513093
0.3678929766,1.27398453
0.4013377926,1.590750723
0.4347826087,0.752233872
0.4682274247,0.8407563946
0.5016722408,1.308404504
0.5351170569,1.120141113
0.5685618729,1.632345716
0.602006689,1.114413666
0.635451505,0.8735887645
0.6688963211,1.975995843
0.7023411371,1.241538289
0.7357859532,1.292520138
0.7692307692,0.6215862004
0.8026755853,0.8928947038
0.8361204013,1.068324949
0.8695652174,0.4720529009
0.9030100334,0.9875192647
0.9364548495,0.4992340272
0.9698996656,0.5237268234
1.003344482,0.3005336854
1.036789298,1.18407895
1.070234114,0.3420956013
1.10367893,-0.1676741858
1.137123746,0.4971066061
1.170568562,-0.4016899411
1.204013378,0.09567736857
1.237458194,-0.8383693373
1.27090301,-0.6436728716
1.304347826,-0.08207832073
1.337792642,0.09621960847
1.371237458,-0.1584167111
1.404682274,-0.2901555172
1.43812709,-0.3702440651
1.471571906,-0.8360926884
1.505016722,-0.5166430256
1.538461538,-0.3864525906
1.571906355,0.2571967463
1.605351171,0.01772541074
1.638795987,-0.770425095
1.672240803,0.1265756353
1.705685619,-0.08837581713
1.739130435,-0.1310225134
1.772575251,0.4625911053
1.806020067,0.7112098832
1.839464883,0.7534959812
1.872909699,0.1272849304
1.906354515,0.4196020782
1.939799331,0.7529540532
1.973244147,1.083224787
2.006688963,0.5678955694
2.040133779,0.7445425021
2.073578595,0.4269776
2.107023411,0.4321036506
2.140468227,1.266087362
2.173913043,1.502687025
2.20735786,0.9385076826
2.240802676,1.36342532
2.274247492,1.088719438
2.307692308,0.6554019839
2.341137124,1.014915007
2.37458194,1.430400889
2.408026756,0.7342155359
2.441471572,1.297100554
2.474916388,-0.4636243827
2.508361204,0.8175688113
2.54180602,0.4209907665
2.575250836,0.1582246412
2.608695652,0.2020517632
2.642140468,-0.7446385501
2.675585284,-0.1532027626
2.7090301,-0.037236662
2.742474916,0.2990386259
2.775919732,-0.607055401
2.809364548,-0.8247333758
2.842809365,-0.7960555247
2.876254181,-0.3142325546
2.909698997,-0.623708647
2.943143813,-1.030635068
2.976588629,-0.6647852017
3.010033445,-0.8698147193
3.043478261,-0.5465208249
3.076923077,-1.226743478
3.110367893,-1.075620228
3.143812709,-1.08704931
3.177257525,-1.488851418
3.210702341,-0.7466296777
3.244147157,-0.7117031071
3.277591973,-0.7557623327
3.311036789,-0.7853535507
3.344481605,-1.184944782
3.377926421,-0.7095504192
3.411371237,-0.5978210769
3.444816054,-0.6998062917
3.47826087,-0.3620590708
3.511705686,0.343201744
3.545150502,1.01129845
3.578595318,0.3964692409
3.612040134,0.4926483027
3.64548495,0.4148033659
3.678929766,-0.277009793
3.712374582,0.5160105229
3.745819398,0.5765200674
3.779264214,1.5529966
3.81270903,0.4955315445
3.846153846,0.687700708
3.879598662,0.5382333673
3.913043478,0.06097806861
3.946488294,0.954314116
3.97993311,0.760428355
4.013377926,0.7337921568
4.046822742,0.008276126262
4.080267559,0.8865148034
4.113712375,-0.2814071161
4.147157191,0.4704612263
4.180602007,1.072587488
4.214046823,-0.2330420537
4.247491639,-0.08884246843
4.280936455,0.1612668746
4.314381271,-0.08575040942
4.347826087,-0.4988584306
4.381270903,0.1668813733
4.414715719,-0.2546926903
4.448160535,0.4032766652
4.481605351,-0.09770320137
4.515050167,0.9583206883
4.548494983,0.1044836345
4.581939799,0.3783409887
4.615384615,0.9303852574
4.648829431,0.2171031252
4.682274247,0.9095617529
4.715719064,1.453043943
4.74916388,0.398976792
4.782608696,1.225403267
4.816053512,1.360488066
4.849498328,1.667311423
4.882943144,0.9486755168
4.91638796,0.9929031571
4.949832776,1.794400639
4.983277592,1.754287927
5.016722408,1.769632692
5.050167224,1.825119833
5.08361204,1.414271301
5.117056856,1.761429097
5.150501672,1.750784506
5.183946488,1.296302272
5.217391304,2.261365468
5.25083612,1.623556551
5.284280936,0.8641823473
5.317725753,1.499760051
5.351170569,0.7357288134
5.384615385,1.323372146
5.418060201,1.351941247
5.451505017,0.4398168304
5.484949833,1.035214084
5.518394649,0.7014044059
5.551839465,0.7585026696
5.585284281,1.090818995
5.618729097,0.1472047413
5.652173913,-0.1305697043
5.685618729,-0.245901725
5.719063545,-0.2633079545
5.752508361,-0.000264921218
5.785953177,0.1489530449
5.819397993,0.1189570692
5.852842809,0.3479586947
5.886287625,0.04291515308
5.919732441,0.650099317
5.953177258,0.002419108604
5.986622074,1.24268017
6.02006689,0.4559492096
6.053511706,-0.08340119141
6.086956522,-0.1143970624
6.120401338,0.5602827139
6.153846154,0.328369983
6.18729097,0.7494705083
6.220735786,0.6937464464
6.254180602,0.5095051179
6.287625418,0.2272018232
6.321070234,-0.01977650329
6.35451505,0.4209940819
6.387959866,0.9493837964
6.421404682,0.6943949353
6.454849498,0.1083162771
6.488294314,0.6711091675
6.52173913,0.7501832101
6.555183946,0.2374543505
6.588628763,0.649904025
6.622073579,0.6132912537
6.655518395,0.1401605824
6.688963211,0.7549144586
6.722408027,0.8587599332
6.755852843,1.099257761
6.789297659,1.128456675
6.822742475,0.2060165632
6.856187291,0.4408555628
6.889632107,1.088715217
6.923076923,1.161380752
6.956521739,1.239742939
6.989966555,2.655265532
7.023411371,0.9231912139
7.056856187,1.227358491
7.090301003,1.227977681
7.123745819,1.172425558
7.157190635,0.8408896239
7.190635452,1.312929424
7.224080268,0.7276421044
7.257525084,0.95281268
7.2909699,0.8462138354
7.324414716,1.047221701
7.357859532,1.895562338
7.391304348,0.1595617473
7.424749164,1.100326687
7.45819398,0.08432266514
7.491638796,0.4306656834
7.525083612,0.9342103247
7.558528428,0.3958452657
7.591973244,-0.1936659566
7.62541806,-0.1818862636
7.658862876,0.2461959399
7.692307692,-0.4405579228
7.725752508,-0.1738439418
7.759197324,-0.3400964215
7.79264214,-0.6997712169
7.826086957,0.3572082358
7.859531773,-0.2865830387
7.892976589,-1.367297019
7.926421405,-0.4765209316
7.959866221,-0.786639135
7.993311037,-0.1296334683
8.026755853,-0.7157428347
8.060200669,-0.354415277
8.093645485,-0.0007321333044
8.127090301,0.261736778
8.160535117,-0.4377008242
8.193979933,0.04066616443
8.227424749,0.117772336
8.260869565,0.1771651757
8.294314381,1.269304282
8.327759197,0.840346972
8.361204013,0.2769819643
8.394648829,1.236860256
8.428093645,1.79057815
8.461538462,1.409159041
8.494983278,0.4248084296
8.528428094,0.8572651775
8.56187291,1.558826984
8.595317726,0.7540150154
8.628762542,1.185218501
8.662207358,1.275773767
8.695652174,0.5432908124
8.72909699,0.8307481835
8.762541806,-0.5066267607
8.795986622,0.31267488
8.829431438,0.5534108479
8.862876254,0.08876687011
8.89632107,1.177374709
8.929765886,-0.1067409322
8.963210702,0.2354763543
8.996655518,0.4157503181
9.030100334,0.8978464148
9.063545151,-0.2893832797
9.096989967,0.7191491431
9.130434783,0.2315649352
9.163879599,-0.187613472
9.197324415,0.3705268604
9.230769231,0.24849687
9.264214047,-0.08607393067
9.297658863,0.1686965324
9.331103679,-0.02503455545
9.364548495,0.1645806146
9.397993311,0.37638236
9.431438127,0.7413443417
9.464882943,-0.3887237159
9.498327759,0.9643086095
9.531772575,-0.6585671355
9.565217391,0.08044331354
9.598662207,0.4042063166
9.632107023,0.3187189912
9.665551839,0.004963039046
9.698996656,0.2289269107
9.732441472,0.1831590849
9.765886288,0.2219397778
9.799331104,0.8825188397
9.83277592,0.7761074094
9.866220736,0.449840433
9.899665552,1.180636222
9.933110368,1.034273387
9.966555184,1.320298995
10,1.320485013
